title,category,context,char_count,word_count,code_switching,has_date,has_location,has_person,has_shhal,has_shno
استعدادا للمونديال.. حموشي عين مسؤولين أمنيين جداد عدد منهم على رأس فرق الأمن الرياضي,آش واقع,أشر المدير العام للأمن الوطني، عبد اللطيف حموشي، ظهر اليوم الأربعاء، على قائمة جديدة تتضمن تعيين 24 مسؤولا جديدا في مناصب المسؤولية للتدبير الإداري والعملياتي للمصالح المركزية والجهوية للأمن الوطني.,198,30,0,0,0,1,1,1
قرار محكمة العدل الاوربية. وزير خارجية الصبليون: شراكتنا استراتيجية مع المغرب وخاص نحافظو عليها,آش واقع,أعرب وزير الشؤون الخارجية الاسباني، خوسي مانويل ألباريس، اليوم الجمعة، عن احترام حكومة بلاده لقرار محكمة العدل الأوروبية المتعلق باتفاقيتي الفلاحة والصيد البحري بين الاتحاد الأوروبي والمغرب، مدافعا في نفس الوقت عن “الشراكة الاستراتيجية” مع المملكة المغربية ومؤكدا إرادة الحفاظ عليها.,283,41,0,0,1,1,0,1
تحديد مواعيد مؤجلات الرجا وليفار وبركان وماتشات الجولة 19,كود سبور,حددت العصبة الوطنية لكرة القدم الاحترافية، مواعيد الماتشات المؤجلة عن الجولتين 17 و 18 و 19 بالنسبة للفرق اللي مشاركة فالمسابقات الافريقية.,139,22,0,0,0,0,0,1
الأرصاد الجوية: الصهد فهاد المناطق والغيام فالأطلس الكبير مع احتمال طيح شوية د الشتا,آش واقع,توقعات المديرية العامة للأرصاد الجوية، بالنسبة لليوم الثلاثاء، باش يكون الطقس حارا نسبيا بالحنوب الشرقي وداخل الأقاليم الجنوبية. ويتوقع أن تكون الأجواء أحيانا غائمة بالأطلس الكبير، مع احتمال نزول قطرات ورعد محلي بداخل الأقاليم الجنوبية.,236,35,0,0,1,0,0,1
تقرير: نتنياهو باغي يعرض خطط جديدة لضرب إيران على ترامب,جورنالات بلادي,تستعد إسرائيل لطرح ملف حساس على طاولة الرئيس الأميركي دونالد ترامب خلال لقائه المرتقب مع نتنياهو في فلوريدا نهاية ديسمبر، حيث يعتزم نتنياهو ، وفقما نقلته شبكة “إن بي سي” عن مصادر إطلاع ترامب على تقديرات استخباراتية جديدة بشأن توسع إيران في إنتاج الصواريخ الباليستية، وإعادة بناء منشآت دمرتها الغارات الأميركية والإسرائيلية خلال العام الجاري، إضافة إلى عرض خيارات لشن ضربات عسكرية جديدة.,386,63,0,0,1,1,0,0
المجلس الوطني لحقوق الإنسان طلق حملة وطنية لمناهضة العنف الرقمي ضد المغربيات,آش واقع,أطلق المجلس الوطني لحقوق الإنسان، يوم الأربعاء بالرباط، حملة وطنية لمناهضة العنف الرقمي ضد النساء والفتيات تحت شعار “منسكتوش على العنف”، وذلك إلى غاية 10 دجنبر المقبل.,167,27,0,1,1,0,0,1
احتجاجات جيلZ.. واش وصلنا لحالة استثناء فالبلاد واش خاص حل الحكومة والبرلمان؟,آش واقع,الأحداث الأخيرة اللي عاشتها بلادنا، من احتجاجات “جيلZ gen212 ‘‘ وتطورها لأعمال تخريب وهجوم على مؤسسات رسمية وأبناك، طرحت بزاف ديال الأسئلة حول المقتضيات الدستورية اللي كتنظم مثل هاد الوضعيات. واش ممكن الملك يعلن حالة الاستثناء؟ واش يقدر يحل الحكومة والبرلمان؟.,260,41,1,0,0,1,0,1
مريكان سجلات أول إصابة بسلالة فرعية من جدري القردة,جورنالات بلادي,أكدت المراكز الأميركية للسيطرة على الأمراض والوقاية منها يوم السبت أول إصابة بالسلالة الفرعية 1 من جدري القردة في ولاية كاليفورنيا، وهي أول إصابة معروفة من هذا النوع في الولايات المتحدة.,186,31,0,0,1,0,1,1
رشيد المرابطي حطم الرقم القياسي لأسطورة ماراطون الرمال لحسن احنصال وربح اللقب 11 فالتاريخ ديالو,كود سبور,ربح العداء المغربي رشيد المرابطيماراطون الرمال للمرة 11 فالكاريير ديالو، وحطم الرقم القياسي اللي كان عندو من لحسن احنصال ب 10 القاب.,132,22,0,0,1,1,1,1
فيديو كيجيب الرعدة.. رونالدو كيعوم غير بشورت وسط الثلج فعطلة عيد الميلاد,كود سبور,بينما يقضي النجم البرتغالي كريستيانو رونالدو، إجازته احتفالا بعطلة عيد الميلاد مع عائلته في فنلندا، نشر صوراً جديدة يستعرض فيها لياقته وسط الثلوج.,146,23,0,0,1,0,0,1
راجل عندو كثر من 70 عام طاح من الشرجم ديال البيت ديالو ف كلينيك معروفة ف طنجة ومات.. وغموض كبير حول أسباب الحادث,آش واقع,لقي رجل سبعيني حتفه أمس الإثنين على إثر سقوطه من الطابق الخامس بمصحة خاصة تقع وسط مدينة طنجة أمام ذهول وصدمة المارة والعاملين في هذه المؤسسة الصحية.,148,27,0,0,1,0,0,1
مذكرات بحث صدرات فحق مشتبه فيهم آخرين عندهم علاقة بشبكة للنصب على اللي باغي يمشي برا: كاينين بين آيت ملول والهراويين وصفرو,آش واقع,أمر وكيل الملك لدى المحكمة الابتدائية بمدينة فاس، أمس الثلاثاء، بإصدار مذكرات بحث على الصعيد الوطني في حق ثلاثة أشخاص آخرين، من بينهم سيدة، وذلك للاشتباه في ارتباطهم بشبكة النصب على الراغبين في الهجرة بالخارج المفككة بناء على معلومات ميدانية وفرتها مصالح المديرية الجهوية لمراقبة التراب الوطني.,294,47,0,0,1,1,1,1
مجلس المنافسة فضح لوبي المطاحن: كاين اختلالات كبيرة تراكمات فمنظومة الدعم وخاص فرض رقابة صارمة على أسعار الدقيق المدعم ومسارات توزيعه باش يوصل للفئات المستهدفة,آش واقع,كشف مجلس المنافسة، في تقرير جديد حول سلسلة الحبوب وسوق المطاحن بالمغرب، عن اختلالات كبيرة تراكمت داخل منظومة الدعم، مؤكداً الحاجة الملحة إلى إعادة هيكلة آليات توزيع المساعدات العمومية لضمان نجاعة أكبر واستهداف أفضل للفئات التي تستحق الدعم.,239,38,0,0,1,1,0,1
أخنوش ترأس اجتماع لجنة القيادة لتتبع مشاريع كان 2025 ومونديال 2030 بحضور لقجع والتيرانات غايكونو واجدين فالوقت,كود سبور,ترأس رئيس الحكومة عزيز أخنوش، اليوم الخميس 27 فبراير 2025 بالرباط، اجتماع لجنة قيادة تتبع مشاريع الملاعب الرياضية لكأس إفريقيا للأمم 2025 وكأس العالم 2030، بحضور كل من وزيرة الاقتصاد والمالية نادية فتاح، ووزير التربية الوطنية والتعليم الأولي والرياضة محمد سعد برادة، والوزير المنتدب المكلف بالميزانية فوزي لقجع.,315,48,0,1,1,1,0,1
